Price,Close,High,Low,Open,Volume
Ticker,TPB.VN,TPB.VN,TPB.VN,TPB.VN,TPB.VN
Date,,,,,
2018-04-19,7132.0361328125,7692.488575368979,6989.175721931156,7692.488575368979,27132594
2018-04-20,7143.02490234375,7208.9609024603005,7011.153700396303,7208.9609024603005,7329260
2018-04-23,6769.39013671875,7165.003768252406,6659.497727387969,7143.025366214821,3416126
2018-04-24,6769.39013671875,6813.346940793921,6307.840899929483,6659.497727387969,4034011
2018-04-25,6769.39013671875,6769.39013671875,6769.39013671875,6769.39013671875,0
2018-04-26,6527.6259765625,6791.368391881044,6483.669173437972,6747.411588756516,2298666
2018-04-27,6637.5185546875,6637.5185546875,6450.700950396155,6582.572153526184,2914729
2018-04-30,6637.5185546875,6637.5185546875,6637.5185546875,6637.5185546875,0
2018-05-01,6637.5185546875,6637.5185546875,6637.5185546875,6637.5185546875,0
2018-05-02,6549.6044921875,6791.368096277859,6527.625692439048,6791.368096277859,1744121
2018-05-03,6549.6044921875,6549.6044921875,6373.776089914018,6549.6044921875,1516203
2018-05-04,6549.6044921875,6692.464894409718,6483.668891227798,6692.464894409718,995280
2018-05-07,6593.56201171875,6593.56201171875,6417.7336009338715,6571.583210906362,1003463
2018-05-08,6615.54052734375,6813.346944062623,6549.604922056508,6813.346944062623,2068703
2018-05-09,6593.56201171875,6615.540413388293,6505.647606754888,6615.540413388293,1372155
2018-05-10,6483.6689453125,6593.561747542971,6373.776143082029,6593.561747542971,688030
2018-05-11,6549.6044921875,6549.6044921875,6285.862088348689,6483.668891227798,2698006
2018-05-14,6483.6689453125,6549.604546822216,6329.818942361275,6549.604546822216,940681
2018-05-15,6549.6044921875,6560.593692490313,6329.81888955994,6483.668891227798,1743042
2018-05-16,6483.6689453125,6560.593747216697,6417.733343802784,6549.604546822216,1953889
2018-05-17,6483.6689453125,6549.604546822216,6439.711744591746,6505.647346101462,1434565
2018-05-18,6527.6259765625,6549.6047772676075,6406.744368827203,6461.690372732864,1733000
2018-05-21,6494.658203125,6538.615404234371,6472.679802141731,6538.615404234371,1262697
2018-05-22,6439.7119140625,6538.615518501288,6285.86230620532,6494.658316623733,1542015
2018-05-23,6461.6904296875,6472.680029708341,6351.798021764723,6439.712027931514,1882255
2018-05-24,6439.7119140625,6472.679915256376,6395.754712184946,6450.701114746179,1364568
2018-05-25,6373.7763671875,6461.690372577283,6362.787166406632,6439.711971015548,1145502
2018-05-28,5956.1845703125,6351.798208401786,5956.1845703125,6329.819406857141,732847
2018-05-29,6329.8193359375,6340.808936158124,6044.09851134409,6044.09851134409,2195903
2018-05-30,6307.8408203125,6362.787223855788,6241.905215889124,6318.830021192588,637783
2018-05-31,6153.9912109375,6296.851620692939,6153.9912109375,6285.862419810652,1068736
2018-06-01,6153.9912109375,6285.862419810652,6153.9912109375,6285.862419810652,373974
2018-06-04,6483.6689453125,6549.604546822216,6143.001338226606,6175.969338552879,1441966
2018-06-05,6461.6904296875,6505.64763234232,6351.798021764723,6505.64763234232,1707895
2018-06-06,6351.7978515625,6439.711855373555,6329.819051252609,6417.733454206501,3153619
2018-06-07,6351.7978515625,6373.7762527295545,6307.8406500855535,6373.7762527295545,2512637
2018-06-08,6296.8515625,6373.776367107956,6263.883561014965,6351.797965546495,4323743
2018-06-11,6263.88330078125,6351.797701660366,6197.947699693326,6351.797701660366,143973
2018-06-12,6197.9482421875,6263.883849046637,6110.03423275627,6263.883849046637,156879
2018-06-13,6197.9482421875,6219.927043902454,6153.991437043316,6197.9482421875,413547
2018-06-14,6153.9912109375,6197.948014466652,6099.044807383212,6197.948014466652,85506
2018-06-15,6110.03369140625,6186.958492735883,6099.0444910938495,6186.958492735883,97668
2018-06-18,5934.20556640625,6110.033977053205,5934.20556640625,6110.033977053205,165470
2018-06-19,5956.1845703125,6022.120176660715,5527.602929477678,5846.291760017857,2413295
2018-06-20,6022.1201171875,6044.098519372231,5956.184511490453,5956.184511490453,2412811
2018-06-21,6022.1201171875,6132.01252725401,5934.205710162866,6066.076921556962,162383
2018-06-22,6044.09814453125,6044.09814453125,6000.1409437450575,6000.1409437450575,428907
2018-06-25,6110.03369140625,6153.99089179868,6044.098090389019,6055.087290701419,762416
2018-06-26,6110.03369140625,6132.012092031052,5758.376886552462,5758.376886552462,377284
2018-06-27,6077.06591796875,6110.033919278312,5934.205510293945,6088.055517833832,157548
2018-06-28,5934.20556640625,6077.065975431906,5934.20556640625,6077.065975431906,165024
2018-06-29,6044.09814453125,6044.09814453125,5912.226941315502,6044.09814453125,872507
2018-07-02,5934.20556640625,6066.0767746057545,5923.216365580099,6044.098372953453,275078
2018-07-03,5736.3984375,5945.194439101405,5703.430836841116,5934.205238881777,677765
2018-07-04,5593.53857421875,5758.377391649275,5450.678159340866,5736.398989096634,1055644
2018-07-05,5560.5703125,5791.345125135652,5560.5703125,5692.441519965274,2897955
2018-07-06,5868.27001953125,5868.27001953125,5560.5703976842415,5560.5703976842415,1279880
2018-07-09,5934.20556640625,5934.20556640625,5461.667136881832,5934.20556640625,842455
2018-07-10,5978.16259765625,5978.16259765625,5912.226995444705,5934.205396467608,1036713
2018-07-11,5890.248046875,5978.1624470372935,5846.291245936678,5978.1624470372935,306580
2018-07-12,5879.25927734375,5890.248478383378,5835.302473185236,5868.270076304121,516645
2018-07-13,5956.1845703125,5989.152173915178,5912.227366366071,5967.173771513392,1129732
2018-07-16,5934.20556640625,5934.20556640625,5824.312759859047,5934.20556640625,805002
2018-07-17,5890.248046875,5945.194447190727,5890.248046875,5934.205246956147,586828
2018-07-18,5934.20556640625,5956.184367201398,5857.280761480347,5901.237963927797,921564
2018-07-19,5912.22705078125,5934.2054520098645,5868.2698491811825,5923.216251395557,205118
2018-07-20,5912.22705078125,5934.2054520098645,5890.248250409797,5934.2054520098645,95176
2018-07-23,5901.23779296875,5923.216193984337,5868.269792302535,5923.216193984337,244542
